RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
394404,10,"Boston, MA",Msa,MA,344850,346358,343545,339891,335351,330881,330199,329175,324992,319638,315847,315117,316670,312215,311817,310249,309764,312313,312473,311503,316349,322395,329245,329021,327290,323303,324102,329142,335841,335632,334106,334363,334622,333716,328955,327564,327531,330548,329838,329385,327115,331347,328552,327895,321203,320054,319477,324356,328211,330770,333316,334519,333412,328713,329116,332958,337295,335773,335722,334865,339944,340995,343202,343415,346022,350499,355563,356264,357122,359709,361367,362860,358708,359140,359590,361513,362405,361991,362907,362705,365964,368721,373619,372549,372994,372622,373087,374058,376595,377296,378009,378742,380844,381790,378802,379287,382248,387035,391615,393601,395070,398046,397738,400749,401342,406189,408251,412602,412048,413177,411216,413261,414140,418682,424289,429211,433011,432159,435719,437662,444488,444579,447362,448295,451616,447534,446885,447763,447269,449040,449306,451666,448299,453435,458443,462459,463198,460288,461506,464359,471737,478889,484849,489639,494495,492784,487837,487356,501834,512419,518602,523740,526653,529560,533475,537875,544410,553407,564606
395057,11,"San Francisco, CA",Msa,CA,583920,564025,537508,514394,492829,472123,450127,429071,412336,396583,388158,380950,361733,364652,380338,388840,396192,403049,413873,424531,429138,432008,432126,432304,421337,420725,417769,420261,421943,425176,426154,425875,424742,421511,418980,418722,408544,398117,387197,381826,382736,381956,380959,378187,376704,382369,386144,388570,391703,399849,409183,418651,422070,430196,437468,452719,466421,473303,476557,484319,506130,528206,546905,554695,555992,554927,558882,564687,568496,573855,581069,589644,592505,590321,589182,591803,606632,617413,624664,618986,617434,618188,626458,637343,639355,641380,634360,635424,636986,644723,647372,656678,665424,680114,681667,671722,664494,667259,685163,696158,696331,691234,691589,695392,702206,704427,710595,717767,729177,732547,731699,731429,741314,754307,764450,774392,779163,782324,785546,798189,807233,814641,816599,819516,813516,804447,804535,804747,804013,798856,805345,804863,807918,806632,812565,803208,795485,786939,798541,807823,823655,829196,828157,826349,815039,806137,805483,827156,861460,883548,888447,898075,904564,921712,939066,959375,986646,1015394,1036557
394532,12,"Detroit, MI",Msa,MI,142675,140677,139839,137826,136956,134558,132566,129976,126579,122598,119802,117686,116150,113508,110544,109737,108866,108903,108610,107529,109114,111049,111752,111363,112568,112898,110779,108571,103720,101371,99045,100438,100427,100970,101082,100747,100473,99739,100918,101052,102973,104549,106252,106313,104270,103160,101937,103145,104219,106959,109897,112476,114769,115614,117333,118570,121658,123090,125027,126370,128541,129599,130749,133766,136613,139010,140276,141671,143137,144440,146572,146892,148076,147466,148076,147507,147659,148346,149013,150384,150398,151551,151326,153418,153062,155074,155134,155865,156379,157241,157115,155912,155896,157758,159210,160117,160623,161912,162808,164473,164781,165745,166693,168564,170072,170135,170261,169603,172391,172644,174540,173170,174471,173910,175804,176328,178509,178285,179382,179909,179304,180188,180650,181677,181413,179487,179480,179819,180709,181930,184104,185841,185187,187078,188115,189997,189020,190041,191216,191710,192147,194528,196999,199684,202692,199832,198857,199603,206003,209111,210890,213529,215794,217011,217570,218423,220408,225496,229674
395025,13,"Riverside, CA",Msa,CA,315305,307386,300274,291940,282053,274480,266191,257515,248999,239686,233926,228142,223585,218879,214711,211425,212927,211111,211927,213133,215027,215729,213723,212949,207059,208018,207428,209413,207337,206692,204400,203464,201719,203256,203585,202698,200682,198733,197407,195814,196810,197365,197201,195164,192744,192400,193680,196525,198154,199328,199984,201599,200926,203162,206180,212911,218729,223139,224874,228156,233696,239629,244740,248580,254218,258628,262030,261859,263681,266789,271181,272622,272246,274431,276660,278120,279184,279151,281240,285339,288164,288160,289248,290768,294638,294388,296918,299145,300719,302020,303280,304606,305973,308016,309154,312078,313691,316738,316311,317778,319384,323485,325194,326366,328376,329912,331588,332475,335193,337556,340917,343163,346868,347117,348924,349327,351732,355599,360710,362819,363591,364516,366796,368379,368430,369270,369088,372192,372066,372068,370037,370796,373037,374142,374049,372649,375174,375619,377606,380644,383993,386628,389238,391229,390580,391108,392447,396177,408290,414560,420522,425578,431717,438231,445709,453257,462641,472027,481436
394976,14,"Phoenix, AZ",Msa,AZ,230996,227512,223824,218853,214460,208522,203962,197868,192883,186135,180640,175603,172856,167652,163035,160659,157681,156378,153671,153296,151758,152359,151501,151455,151318,149960,148277,146378,143966,142976,142442,141606,140525,139259,139174,137095,135012,131229,128874,127060,127842,128732,128441,129614,131326,135303,137435,140427,144004,149838,154207,157309,160017,162696,166553,169334,172500,174203,176519,180123,183562,186706,189034,192858,194455,197091,198432,200729,201277,202140,202998,204038,204422,204057,204711,205261,207813,207434,208230,207468,209880,211611,213707,214264,214715,216635,218431,220218,220581,221922,223109,225275,227003,228640,229823,230704,232678,234148,235339,235331,236535,239308,241731,243521,243476,243902,244505,245755,247292,247926,249460,250904,253080,253649,254997,256157,257836,259486,262484,265241,266532,267917,269573,272331,272985,273312,272851,274598,276986,279166,279013,278254,279368,282258,283989,284605,287025,288336,290489,293505,297568,300250,302399,303686,303979,301671,301412,304012,316272,321827,327619,333074,337536,343180,350218,358483,367218,377417,386890
395078,15,"Seattle, WA",Msa,WA,352590,350118,348105,344387,342055,337787,335666,332246,329508,325765,321941,318926,318150,316970,317406,315228,312569,310891,310548,310111,308749,309246,310343,310104,307923,306655,300779,304815,304641,309252,305437,305343,304926,303171,301995,300196,297417,290805,287662,281047,280482,275319,274804,272492,271447,271744,270296,272158,276915,282291,286151,287006,286822,288449,290559,294284,295074,294355,296282,299060,303435,308119,310378,316224,318233,322397,323767,324092,325172,324909,326411,324726,324892,322631,325566,326304,328888,330279,331691,335222,337118,341926,343806,348535,349445,351313,351242,351259,354680,355477,359514,359175,360596,364249,366804,370485,368737,373605,377339,385307,389372,393496,395672,399715,404553,406705,407809,407917,413326,418058,425592,429515,434227,439745,445501,450492,455018,456972,461431,463056,472380,473960,474647,470420,467990,465768,463522,465481,466838,471015,476230,483041,483415,488500,487445,485329,487498,484342,488914,494246,508455,515293,523371,522913,521931,511592,510440,510688,541283,553269,560463,567123,568026,573922,578339,589418,602712,622634,638836
394865,16,"Minneapolis-St Paul, MN",Msa,MN,226231,224338,221666,217109,214445,211239,208684,205216,202546,200351,197399,194255,190413,188659,187310,187761,184922,184645,184007,185069,184074,183051,184021,186698,189992,187851,186893,188055,190906,191101,190319,188959,189432,188384,186460,181853,177766,176045,174908,172292,169433,166624,165309,164228,163213,164072,165138,167937,169750,171604,172545,173800,175255,178145,179395,180779,181097,181003,180307,181888,184689,188758,191883,196094,198885,200787,202595,204232,206024,207905,209658,209146,207681,206946,208726,208932,210109,209131,210562,210448,212140,212430,214546,217148,220299,221216,220324,219840,219378,221318,221023,223711,224607,227068,227612,227354,227713,228384,229724,231004,231662,232209,234166,235160,235600,235153,234631,235971,237507,239509,242452,243640,246523,247288,247608,247007,248858,251428,255186,256078,256813,257151,257243,258707,258505,260884,263320,266879,268521,270576,271500,273469,273323,275264,276035,276895,278018,277916,279451,281690,284124,286172,288044,291087,293331,293693,292173,294379,301933,305259,307585,309476,311807,314198,317090,319199,323002,327389,333815
395056,17,"San Diego, CA",Msa,CA,451544,440579,432904,421296,412468,403593,396567,388778,380305,373740,369670,364932,354514,356894,358507,361363,361724,362755,362757,364519,366984,368834,369619,370272,365478,365415,361667,364839,367243,370289,370332,369977,369137,365116,360850,360967,360784,359558,355993,354810,353110,349895,349538,347830,347826,348836,351051,350989,349608,349793,352361,352936,355855,358400,363617,370053,377563,382124,386260,390604,400234,409631,415864,420165,420591,425815,427843,432505,433856,436945,437487,439199,440808,441893,443487,445277,450570,454434,456024,452513,450816,453142,460477,465137,464979,464629,467611,471732,472960,470788,470287,477408,484048,489772,487472,486549,489348,493015,494836,495215,498044,504279,512910,514162,515596,514725,519746,525420,526741,531568,535196,540354,541764,542640,544210,548211,554768,557803,561423,563339,572539,578218,581194,582280,585191,588010,586130,585892,582941,585488,583378,583450,581241,580473,583891,583230,587789,580279,584442,591283,599997,607535,610391,612312,606979,601305,598537,608165,624118,637736,645744,652974,659768,665657,677202,689228,707062,725609,741076
395121,18,"St. Louis, MO",Msa,MO,155504,155766,154532,153395,151787,150426,149186,147617,146127,143053,141978,141898,143345,141423,141745,141839,142941,143699,144393,144265,143925,145773,147058,148985,149606,149565,148800,148555,147990,147863,147420,148856,150319,152281,151517,146835,142213,140473,140621,140733,140826,140193,140308,140884,141824,140744,139358,140103,142341,144540,144671,144606,144767,146042,146370,146528,146007,147193,148149,150730,152138,151441,151674,152268,153650,154094,154359,154232,154828,155667,156013,154309,153138,153936,155539,156016,156011,155487,156194,157230,157859,157004,157744,158884,159891,159304,158563,159198,160152,160955,160972,160231,160617,161499,161720,162714,163690,166220,167747,167488,167004,166441,168602,169270,170224,170643,171758,172077,171566,171402,171567,173294,173743,176167,175408,178001,177364,177537,177510,178275,180524,180197,179472,178784,178195,178704,178497,178798,180062,182293,185354,186379,186437,186523,188823,188853,189988,187344,188869,190036,193262,194991,194776,195271,197078,200449,200785,200930,204662,208546,210230,211334,211179,211677,213372,215453,216814,217500,219483
395148,19,"Tampa, FL",Msa,FL,180857,179551,176952,174837,172230,170238,166782,162872,159387,157678,154890,153547,151500,148550,146307,145362,143592,141686,139879,141100,141178,139818,139482,138403,139036,136864,136444,133906,133965,132922,135208,133785,133203,130766,129330,126651,125105,124616,124672,123137,121762,121104,120498,119742,119823,120812,122281,122567,123995,124272,125370,126356,128105,129629,129618,132134,133920,137018,138283,141895,143191,145807,147232,151172,153164,154510,155209,156187,157545,157978,157776,157503,158236,160181,160988,161683,162505,163625,166947,166996,168055,167458,169259,170778,171914,172047,172513,173653,174448,176695,176368,177593,177449,179163,181374,182114,184174,185445,187667,187720,189216,189257,191438,192525,195208,196404,197115,198714,199885,202254,203545,206151,207134,208454,208489,210600,211517,213174,213708,215779,217575,218686,219680,219950,220523,221192,222216,224723,225862,227603,228867,229398,228671,227855,228421,230124,232904,233091,234584,235637,239263,240818,242241,242317,244195,246030,246400,246867,252998,256576,259473,262193,263913,266854,270402,275086,279197,283609,288653
