RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394404,10,"Boston, MA",Msa,MA,49.0,47.0,40.0,30.0,25.0,23.0,24.0,28.0,30.0,33.0,37.0,43.0,49.0,49.0,44.0,35.0,29.0,28.0,29.0,33.0,35.0,37.0,40.0,48.0,54.0,51.0,39.0,29.0,26.0,27.0,27.0,25.0,25.0,26.0,27.0,31.0,"","","","","","",""
395057,11,"San Francisco, CA",Msa,CA,30.0,28.0,23.0,19.0,18.0,19.0,21.0,23.0,25.0,27.0,30.0,36.0,39.0,38.0,33.0,29.0,27.0,27.0,28.0,30.0,31.0,32.0,34.0,39.0,42.0,38.0,29.0,23.0,23.0,26.0,26.0,26.0,25.0,24.0,25.0,29.0,"","","","","","",""
394532,12,"Detroit, MI",Msa,MI,55.0,54.0,49.0,38.0,30.0,26.0,26.0,28.0,31.0,36.0,41.0,47.0,53.0,57.0,54.0,46.0,38.0,34.0,33.0,36.0,40.0,44.0,49.0,56.0,63.0,64.0,58.0,52.0,46.0,43.0,37.0,33.0,31.0,29.0,30.0,32.0,"","","","","","",""
395025,13,"Riverside, CA",Msa,CA,54.0,52.0,49.0,44.0,42.0,41.0,41.0,44.0,49.0,51.0,55.0,58.0,62.0,63.0,62.0,59.0,56.0,53.0,51.0,51.0,51.0,52.0,54.0,57.0,60.0,60.0,55.0,48.0,46.0,45.0,46.0,42.0,35.0,29.0,27.0,28.0,"","","","","","",""
394976,14,"Phoenix, AZ",Msa,AZ,59.0,59.0,57.0,54.0,54.0,51.0,51.0,50.0,49.0,48.0,50.0,54.0,56.0,56.0,55.0,53.0,51.0,49.0,47.0,45.0,44.0,42.0,42.0,45.0,46.0,46.0,41.0,36.0,35.0,36.0,37.0,35.0,32.0,29.0,28.0,29.0,"","","","","","",""
395078,15,"Seattle, WA",Msa,WA,37.0,33.0,25.0,18.0,16.0,15.0,17.0,21.0,25.0,31.0,37.0,44.0,48.0,46.0,37.0,29.0,23.0,22.0,23.0,27.0,29.0,31.0,34.0,39.0,40.0,34.0,24.0,17.0,15.0,17.0,18.0,17.0,16.0,16.0,18.0,20.0,"","","","","","",""
394865,16,"Minneapolis-St Paul, MN",Msa,MN,63.0,59.0,51.0,40.0,36.0,34.0,34.0,36.0,39.0,43.0,49.0,56.0,63.0,62.0,56.0,46.0,39.0,34.0,34.0,37.0,40.0,44.0,49.0,56.0,61.0,60.0,51.0,41.0,35.0,33.0,34.0,34.0,34.0,33.0,34.0,37.0,"","","","","","",""
395056,17,"San Diego, CA",Msa,CA,46.0,42.0,39.0,36.0,37.0,38.0,41.0,43.0,46.0,47.0,50.0,55.0,58.0,60.0,57.0,52.0,47.0,43.0,43.0,46.0,48.0,49.0,49.0,53.0,56.0,52.0,43.0,37.0,36.0,37.0,34.0,31.0,28.0,25.0,24.0,26.0,"","","","","","",""
395121,18,"St. Louis, MO",Msa,MO,70.0,70.0,63.0,54.0,48.0,43.0,41.0,42.0,46.0,50.0,54.0,59.0,65.0,64.0,58.0,47.0,41.0,37.0,37.0,39.0,41.0,43.0,46.0,52.0,58.0,59.0,51.0,42.0,37.0,37.0,36.0,34.0,31.0,29.0,30.0,33.0,37.0,36.0,27.0,20.0,15.0,15.0,14.0
395148,19,"Tampa, FL",Msa,FL,58.0,57.0,54.0,50.0,46.0,44.0,44.0,45.0,48.0,49.0,49.0,50.0,53.0,55.0,56.0,54.0,53.0,51.0,51.0,50.0,50.0,52.0,53.0,55.0,55.0,54.0,48.0,44.0,42.0,43.0,44.0,39.0,35.0,31.0,30.0,30.0,31.0,29.0,25.0,20.0,14.0,11.0,10.0
