"RegionID","SizeRank","RegionName","RegionType","StateName","Date","MedianSalePrice"
753899,2,"Los Angeles-Long Beach-Anaheim, CA","Msa","CA","3/31/2008",5e+05
394463,3,"Chicago, IL","Msa","IL","3/31/2008",250000
394514,4,"Dallas-Fort Worth, TX","Msa","TX","3/31/2008",153000
394974,5,"Philadelphia, PA","Msa","PA","3/31/2008",223500
394692,6,"Houston, TX","Msa","TX","3/31/2008",153000
395209,7,"Washington, DC","Msa","DC","3/31/2008",360000
394856,8,"Miami-Fort Lauderdale, FL","Msa","FL","3/31/2008",268000
394347,9,"Atlanta, GA","Msa","GA","3/31/2008",186100
394404,10,"Boston, MA","Msa","MA","3/31/2008",335000
395057,11,"San Francisco, CA","Msa","CA","3/31/2008",573500
394532,12,"Detroit, MI","Msa","MI","3/31/2008",135000
395025,13,"Riverside, CA","Msa","CA","3/31/2008",315000
394976,14,"Phoenix, AZ","Msa","AZ","3/31/2008",225000
395078,15,"Seattle, WA","Msa","WA","3/31/2008",346250
394865,16,"Minneapolis-St Paul, MN","Msa","MN","3/31/2008",220000
395056,17,"San Diego, CA","Msa","CA","3/31/2008",440000
395121,18,"St. Louis, MO","Msa","MO","3/31/2008",152000
395148,19,"Tampa, FL","Msa","FL","3/31/2008",179250
394358,20,"Baltimore, MD","Msa","MD","3/31/2008",256000
394530,21,"Denver, CO","Msa","CO","3/31/2008",249900
394982,22,"Pittsburgh, PA","Msa","PA","3/31/2008",125900
394998,23,"Portland, OR","Msa","OR","3/31/2008",277450
394458,24,"Charlotte, NC","Msa","NC","3/31/2008",178000
395045,25,"Sacramento, CA","Msa","CA","3/31/2008",324500
395055,26,"San Antonio, TX","Msa","TX","3/31/2008",149825
394943,27,"Orlando, FL","Msa","FL","3/31/2008",224900
394466,28,"Cincinnati, OH","Msa","OH","3/31/2008",145000
394475,29,"Cleveland, OH","Msa","OH","3/31/2008",129000
394735,30,"Kansas City, MO","Msa","MO","3/31/2008",152875
394775,31,"Las Vegas, NV","Msa","NV","3/31/2008",260000
394492,32,"Columbus, OH","Msa","OH","3/31/2008",151950
394705,33,"Indianapolis, IN","Msa","IN","3/31/2008",124900
395059,34,"San Jose, CA","Msa","CA","3/31/2008",7e+05
394355,35,"Austin, TX","Msa","TX","3/31/2008",190000
395194,36,"Virginia Beach, VA","Msa","VA","3/31/2008",226000
394902,37,"Nashville, TN","Msa","TN","3/31/2008",165240
395005,38,"Providence, RI","Msa","RI","3/31/2008",249900
394862,39,"Milwaukee, WI","Msa","WI","3/31/2008",184950
394714,40,"Jacksonville, FL","Msa","FL","3/31/2008",193000
394849,41,"Memphis, TN","Msa","TN","3/31/2008",145408
394935,42,"Oklahoma City, OK","Msa","OK","3/31/2008",118500
394807,43,"Louisville-Jefferson County, KY","Msa","KY","3/31/2008",137500
394669,44,"Hartford, CT","Msa","CT","3/31/2008",239900
395022,45,"Richmond, VA","Msa","VA","3/31/2008",224950
394910,46,"New Orleans, LA","Msa","LA","3/31/2008",169700
394425,47,"Buffalo, NY","Msa","NY","3/31/2008",120000
395012,48,"Raleigh, NC","Msa","NC","3/31/2008",203000
394388,49,"Birmingham, AL","Msa","AL","3/31/2008",153000
395053,50,"Salt Lake City, UT","Msa","UT","3/31/2008",224900
395031,51,"Rochester, NY","Msa","NY","3/31/2008",112000
394640,52,"Grand Rapids, MI","Msa","MI","3/31/2008",130000
395167,53,"Tucson, AZ","Msa","AZ","3/31/2008",215000
753924,54,"Urban Honolulu, HI","Msa","HI","3/31/2008",395000
395169,55,"Tulsa, OK","Msa","OK","3/31/2008",121750
394619,56,"Fresno, CA","Msa","CA","3/31/2008",245000
395238,57,"Worcester, MA","Msa","MA","3/31/2008",240000
394415,58,"Stamford, CT","Msa","CT","3/31/2008",430000
394312,59,"Albuquerque, NM","Msa","NM","3/31/2008",185000
394308,60,"Albany, NY","Msa","NY","3/31/2008",170000
394938,61,"Omaha, NE","Msa","NE","3/31/2008",135000
394908,62,"New Haven, CT","Msa","CT","3/31/2008",244950
394357,63,"Bakersfield, CA","Msa","CA","3/31/2008",240000
394753,64,"Knoxville, TN","Msa","TN","3/31/2008",144000
394653,65,"Greenville, SC","Msa","SC","3/31/2008",140000
394952,66,"Ventura, CA","Msa","CA","3/31/2008",480750
394318,67,"Allentown, PA","Msa","PA","3/31/2008",190000
394561,68,"El Paso, TX","Msa","TX","3/31/2008",129950
394367,69,"Baton Rouge, LA","Msa","LA","3/31/2008",170000
394521,70,"Dayton, OH","Msa","OH","3/31/2008",120000
394843,71,"McAllen, TX","Msa","TX","3/31/2008",NA
394486,72,"Columbia, SC","Msa","SC","3/31/2008",140000
394648,73,"Greensboro, NC","Msa","NC","3/31/2008",141500
394304,74,"Akron, OH","Msa","OH","3/31/2008",119500
753906,75,"North Port-Sarasota-Bradenton, FL","Msa","FL","3/31/2008",225000
