"Month","variable","MortgageRate"
"May","2018",4.066
"June","2018",4.04
"July","2018",4.01
"August","2018",4.02
"September","2018",4.08
"October","2018",4.25
"November","2018",4.28
"December","2018",4.09
"January","2019",3.91
"February","2019",3.8
"March","2019",3.72
"April","2019",3.61
"May","2019",3.53
"June","2019",3.24
"July","2019",3.2
"August","2019",3.08
"September","2019",3.12
"October","2019",3.14
"November","2019",3.16
"December","2019",3.18
"January","2020",3.072
"February","2020",2.97
"March","2020",2.885
"April","2020",2.804
"May","2020",2.69
"June","2020",2.6
"July","2020",2.52
"August","2020",2.48
"September","2020",2.39
"October","2020",2.35
"November","2020",2.31
"December","2020",2.22
"January","2021",2.2
"February","2021",2.24
"March","2021",2.39
"April","2021",2.36
"May","2021",2.28
"June","2021",2.27
"July","2021",2.18
"August","2021",NA
"September","2021",NA
"October","2021",NA
"November","2021",NA
"December","2021",NA
